menu,title,lat,lng,content,tel,business_hours,closing_day,parking,toilet
観光関連施設,串本都市交流施設「水門まつり」,33.460750528382,135.785464411528,東牟婁郡串本町串本1557－20,0739-62-7787,9:00～21:00,なし,一般駐車場 有り：18台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：4箇所 手すり付便所 有り：1箇所 オストメイト対応便所 有り
金融機関・郵便局,きのくに信用金庫串本支店,33.4693605598754,135.780714542487,東牟婁郡串本町串本1735,07356-2-0067,9:00～15:00,土、日、祝日,一般駐車場 有り：7台,
金融機関・郵便局,串本郵便局,33.4723411665484,135.78244479713,東牟婁郡串本町串本2370,07356-2-0050,9:00～18:00,土、日,一般駐車場 有り：5台 障害者用駐車場 有り：1台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：1箇所 手すり付便所 有り：1箇所
金融機関・郵便局,有田郵便局,33.4861355121221,135.737717705582,東牟婁郡串本町有田649,07356-6-0542,9:00～17:00（郵便） 9:00～16:00（貯金・保険）,土、日、祝日,,
金融機関・郵便局,田並郵便局,33.4876055093014,135.718366526271,東牟婁郡串本町田並1560-1,07356-6-0050,9:00～17:30,土、日,,
金融機関・郵便局,和深郵便局,33.5018455198089,135.656585295318,東牟婁郡串本町和深343,07356-7-0042,9:00～17:00（郵便）9:00～16:00（預金・保険）,土、日,,
金融機関・郵便局,大島郵便局,33.4719463595177,135.802215106983,東牟婁郡串本町大島29-1,07356-5-0242,9:00～17:00（郵便） 9:00～16:00（預金・保険）,土、日、祝日,一般駐車場 有り：2台,
金融機関・郵便局,古座中湊郵便局,33.5211336280191,135.826764399317,東牟婁郡串本町中湊102-3,07357-2-1922,9:00～17:00,土、日、祝日,一般駐車場 有り：2台,洋式大便所 有り：2箇所
金融機関・郵便局,第三銀行古座支店,33.5218557063186,135.824959031435,東牟婁郡串本町中湊497-2,07357-2-0090・0091,9:00～15:00,土、日、祝日,一般駐車場 有り：5台,
宿泊施設,潮岬青少年の家,33.4463103368737,135.780948266674,東牟婁郡串本町潮岬668,07356-2-0182,8:30～17:15,月曜、12/28～1/4,一般駐車場 有り：50台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所（1階廊下横） 洋式大便所 有り：2箇所 手すり付便所 有り：2箇所
宿泊施設,国民宿舎あらふね,33.5344360753666,135.876469485824,東牟婁郡串本町田原2518,0735-74-0124,7:30～22:00,年中無休,一般駐車場 有り：20台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：6箇所 手すり付便所 有り：2箇所
大規模小売店舗,オークワ串本店,33.4762626471909,135.783248801126,東牟婁郡串本町串本40-22,0735-62-0312,本館1階 24時間 本館2階 9:00～23:00,年中無休,一般駐車場 有り：250台,洋式大便所 有り：1箇所
大規模小売店舗,AコープVASEO,33.4626502309125,135.781696574681,東牟婁郡串本町串本1551－1,0735-69-2222,9:00～20:00,なし,一般駐車場 有り：50台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所（男女便所近く）
大規模小売店舗,コーナンホームストック串本店,33.4798317679236,135.788491334119,東牟婁郡串本町串本2300-1,0735-69-1055,10:00～20:00,なし,一般駐車場 有り：38台 障害者用駐車場 有り：1台,障害者（車椅子）用便所 有り：1箇所（入口左側） 手すり付便所 有り：1箇所
大規模小売店舗,ＷＡＹ串本,33.4762218731437,135.784191521233,東牟婁郡串本町串本2079-1,0735-62-3961,9:30～23:00,なし,一般駐車場 有り：75台 障害者用駐車場 有り：1台,手すり付便所 有り：1箇所
大規模小売店舗,オークワ串本店（ダイソー館）,33.4766654090226,135.783547362388,東牟婁郡串本町串本2001,0735-62-0312,9:00～22:00,なし,一般駐車場 有り：35台（オークワ共有） 障害者用駐車場 有り：1台,障害者（車椅子）用便所 有り：1箇所（正面中央入口右側） 洋式大便所 有り：2箇所 手すり付便所 有り：2箇所 オストメイト対応便所 有り
大規模小売店舗,ミスタージョン串本店,33.4947166848641,135.796335976781,東牟婁郡串本町姫字ゴウラ718-14,0735-72-1966,10:00～20:00,年4回,一般駐車場 有り：82台 障害者用駐車場 有り：2台,障害者（車椅子）用便所 有り：1箇所 洋式大便所 有り：2箇所 手すり付便所 有り：2箇所
文化施設,串本町立文化センター,33.4726897654162,135.784108542545,東牟婁郡串本町串本2427,07356-2-5105,8:30～17:15,土、日、祝祭日,一般駐車場 有り：22台 障害者用駐車場 有り,障害者（車椅子）用便所 有り：1箇所（ホール右側） 手すり付便所 有り：1箇所 洋式大便所 有り
文化施設,串本町地域保健福祉センター,33.4715548856263,135.78382530362,東牟婁郡串本町串本2367,0735-62-1522,8:30～17:15,土・日・祝祭日,一般駐車場 有り：職員用と兼用（町道横断必要あり） 障害者用駐車場 有り：1台,障害者（車椅子）用便所 有り：2箇所 洋式大便所 有り：6箇所 手すり付便所 有り：14箇所
文化施設,串本町立体育館,33.4724572926199,135.784164145268,東牟婁郡串本町串本2427,07356-2-5105,9:00～17:00,月,一般駐車場 有り：20台,障害者（車椅子）用便所 有り：1箇所
文化施設,串本町立串本中学校体育館,33.4628126838428,135.780421179285,東牟婁郡串本町串本1620,0735-62-0165,8:15～16:45,土、日、祝祭日,一般駐車場 有り：24台 障害者用駐車場 有り：1台,障害者（車椅子）用便所 有り：1箇所
文化施設,錦富小学校,33.4834420321804,135.765020939552,東牟婁郡串本町二色360,0735-62-0339,8:30～16:45,土・日・祭日,一般駐車場 有り：8台,障害者（車椅子）用便所 有り：1箇所（体育館入口横）
